%column :1,2,3,4
%line  1:3,2,6,3
%line  2:1,0,0,0
%line  3:1,0,1,0
%line  4:1,0,1,10
%
% m(col, row, value)
m(1,1,3).
m(2,1,2).
m(3,1,6).
m(4,1,3).

m(1,2,1).
m(2,2,0).
m(3,2,0).
m(4,2,0).

m(1,3,1).
m(2,3,0).
m(3,3,1).
m(4,3,0).

m(1,4,1).
m(2,4,0).
m(3,4,1).
m(4,4,10).




%column :1,2,3,4
%line  1:3,2,6,0
%line  2:1,0,0,1
%line  3:7,0,0,7
%line  4:2,6,2,0

m(1,1,3).
m(2,1,2).
m(3,1,6).
m(4,1,0).

m(1,2,1).
m(2,2,0).
m(3,2,0).
m(4,2,1).

m(1,3,7).
m(2,3,0).
m(3,3,0).
m(4,3,7).

m(1,4,2).
m(2,4,6).
m(3,4,2).
m(4,4,0).
